,0
91,"When the war has been won, we should all visit Ukraine. They will need our tourist dollars. Another idea: volunteer… https://t.co/UR4MkfitqI"
92,"RT @KyivIndependent: Ukraine's General Staff report: 

🔵 Russia transfers new troops to Belarus to replenish its assault force
🟡 4 Russian…"
93,"@_miniszterelnok 🆘🆘🆘In the memory of Holocaust victims you have a monument ""Shoes on the Danube bank"" and u guyskno… https://t.co/HwtQmCphAO"
94,"RT @KyivIndependent: ⚡️Biden: Ukraine should be able to attend G20 meetings if efforts to remove Russia unsuccessful. 

After meeting with…"
95,"RT @DefenceU: 💬@ZelenskyyUa:
Ukraine was beautiful. But now it will be great, because of our people. Glorious Ukraine. Great project for re…"
96,RT @LCueilleur: Russian military intelligence service #GRU is said to have spied on potential attack targets in Germany. These are coordina…
97,@DanielBD1984 @tiff_berg @realSimonaMP @lopatonok diffrence is while both countries and gov are corrupt ukraine is… https://t.co/MYQaR5c4gs
98,"RT @KyivIndependent: These are the indicative estimates of Russia’s losses as of March 25, according to the Armed Forces of Ukraine. https:…"
99,"RT @thesonicyouth: New SY Tee benefiting Doctors Without Borders and relief to the people of Ukraine now available for pre-order:
US + beyo…"
100,"From Monday, children will be able to purchase a raffle ticket for our Easter Egg raffle. All eggs have been donate… https://t.co/Cguff21X9B"
101,"RT @sidhant: At UN, India has abstained on West back resolution on Ukraine, Russian resolution on humanitarian situation on Ukraine, and if…"
102,"RT @WilliamMcNulty: .@united I’m on flight 953 to deliver medical supplies to Ukraine. I was charged $1,100 in extra bag charges for tourni…"
103,"RT @robertburke84: He’s a man under intense pressure so we should cut him some slack, but Volodymyr Zelensky should mind his own business a…"
104,"RT @KyivIndependent: ⚡️ Reuters: US estimates an up to 60% failure rate for Russian missiles attacking Ukraine. 

Earlier, Ukraine’s Defens…"
105,RT @KyivIndependent: ⚡️General Staff of Ukraine's Armed Forces: Some Russian units retreat towards Slobozhanksy after losing 50% of personn…
106,"RT @OlenaHalushka: Hungary is a russian trojan horse inside NATO and EU
https://t.co/jaYr2wb93Q"
107,"RT @UkrainReporters: In Solidarity with Ukraine, CHARITY MERCHS created this design to support millions of displaced person across Ukraine…"
108,"RT @mog7546: #Anonymous claims hack on Russia’s Central Bank and will ‘release secret agreements in 48 hours’

The hacking group has attack…"
109,RT @BBCRosAtkins: You’ll have seen the multiple false claims that Putin and his supporters are making about ‘Nazis’ in Ukraine. We’ve looke…
110,"RT @drmikefraser: ""Universities, libraries and schools have been destroyed throughout eastern, south-eastern and central Ukraine... Neverth…"
111,"""Key to the propaganda effort is an international legion of public relations firms working directly with Ukraine’s… https://t.co/BCj3TMKSKn"
